id,key,type,value
137084293,power,regular,tower
137084296,power,regular,tower
137084306,power,regular,tower
137087567,power,regular,tower
137087569,power,regular,tower
137087572,power,regular,tower
137087575,power,regular,tower
137087582,power,regular,tower
137087588,power,regular,tower
137087597,power,regular,tower
137087600,power,regular,tower
137087602,power,regular,tower
137087604,power,regular,tower
137087607,power,regular,tower
137087614,power,regular,tower
137087616,power,regular,tower
137087619,power,regular,tower
137087621,power,regular,tower
137087627,power,regular,tower
137087629,power,regular,tower
137087631,power,regular,tower
137087634,power,regular,tower
137087636,power,regular,tower
137087639,power,regular,tower
137087642,power,regular,tower
137087646,power,regular,tower
137087649,power,regular,tower
137087652,power,regular,tower
137087658,power,regular,tower
137087660,power,regular,tower
137087662,power,regular,tower
137087664,power,regular,tower
137087666,power,regular,tower
137087668,power,regular,tower
137087670,power,regular,tower
137087672,power,regular,tower
137087674,power,regular,tower
137087676,power,regular,tower
137087678,power,regular,tower
137087680,power,regular,tower
137087682,power,regular,tower
137087684,power,regular,tower
137087687,power,regular,tower
137087690,power,regular,tower
137087693,power,regular,tower
137087700,power,regular,tower
137087702,power,regular,tower
137087705,power,regular,tower
137087708,power,regular,tower
137087711,power,regular,tower
137087714,power,regular,tower
137087715,power,regular,tower
137087723,power,regular,tower
137087725,power,regular,tower
137087727,power,regular,tower
137087736,power,regular,tower
137087739,power,regular,tower
137087743,power,regular,tower
137087745,power,regular,tower
137087747,power,regular,tower
137088892,crossing,regular,traffic_signals
137088892,highway,regular,traffic_signals
137088958,ref,regular,70
137088958,highway,regular,motorway_junction
137089371,power,regular,tower
137090194,ref,regular,76B
137090194,highway,regular,motorway_junction
137091449,ref,regular,64A
137091449,highway,regular,motorway_junction
137091449,old_ref,regular,64
137092862,power,regular,tower
137092865,power,regular,tower
137092869,power,regular,tower
137092871,power,regular,tower
137092874,power,regular,tower
137092876,power,regular,tower
137092879,power,regular,tower
137092884,power,regular,tower
137092888,power,regular,tower
137092900,power,regular,tower
137092904,power,regular,tower
137092907,power,regular,tower
137092911,power,regular,tower
137092914,power,regular,tower
137092920,power,regular,tower
137092924,power,regular,tower
137092927,power,regular,tower
137092934,power,regular,tower
137092940,power,regular,tower
137092943,power,regular,tower
137092952,power,regular,tower
137093126,noexit,regular,yes
137093151,ref,regular,64
137093151,exit_to,regular,US-93 North;Pioche Ely;Great Basin Highway
137093151,highway,regular,motorway_junction
137093877,highway,regular,turning_circle
137093920,ref,regular,38B
137093920,exit_to,regular,Flamingo Road West
137093920,highway,regular,motorway_junction
137094154,railway,regular,level_crossing
137094154,bell,crossing,no
137094154,light,crossing,no
137094154,barrier,crossing,no
137095034,ref,regular,38
137095034,exit_to,regular,Flamingo Road
137095034,highway,regular,motorway_junction
137095451,ref,regular,73
137095451,highway,regular,motorway_junction
137100077,noexit,regular,yes
137100361,ref,regular,57
137100361,highway,regular,motorway_junction
137100427,ref,regular,27
137100427,exit_to,regular,NE-146;Saint Rose Parkway
137100427,highway,regular,motorway_junction
137104058,ref,regular,12B
137104058,highway,regular,motorway_junction
137104058,old_ref,regular,10B
137104161,highway,regular,traffic_signals
137104161,traffic_signals,regular,signal
137104163,highway,regular,traffic_signals
137104163,traffic_signals,regular,signal
137104281,highway,regular,turning_circle
137106049,ref,regular,50
137106049,exit_to,regular,Lamb Boulevard
137106049,highway,regular,motorway_junction
137106481,highway,regular,traffic_signals
137106481,traffic_signals,regular,signal
137107014,power,regular,tower
137107021,power,regular,tower
137107024,power,regular,tower
137107027,power,regular,tower
137107033,power,regular,tower
137107037,power,regular,tower
137107040,power,regular,tower
137107043,power,regular,tower
137108673,barrier,crossing,no
137108673,bell,crossing,no
137108673,light,crossing,no
137108673,railway,regular,level_crossing
137109177,highway,regular,turning_circle
137109754,railway,regular,level_crossing
137110630,highway,regular,traffic_signals
137110638,highway,regular,traffic_signals
137112282,highway,regular,motorway_junction
137116511,ref,regular,76B
137116511,highway,regular,motorway_junction
137116583,ref,regular,65
137116583,highway,regular,motorway_junction
137116643,ref,regular,48
137116643,exit_to,regular,Craig Road
137116643,highway,regular,motorway_junction
137118913,ref,regular,70
137118913,highway,regular,motorway_junction
137120325,power,regular,tower
137120341,power,regular,tower
137120344,power,regular,tower
137120360,power,regular,tower
137120376,power,regular,tower
137120379,power,regular,tower
137120382,power,regular,tower
137120385,power,regular,tower
137120390,power,regular,tower
137120393,power,regular,tower
137120399,power,regular,tower
137120405,power,regular,tower
137123467,power,regular,tower
137123470,power,regular,tower
137123473,power,regular,tower
137123476,power,regular,tower
137123533,source,regular,Bing
137123533,highway,regular,turning_circle
137123545,ref,regular,59
137123545,highway,regular,motorway_junction
137126253,highway,regular,turning_circle
137127487,highway,regular,turning_circle
137127500,highway,regular,turning_circle
137128807,power,regular,tower
137128810,power,regular,tower
137128813,power,regular,tower
137128816,power,regular,tower
137128845,highway,regular,turning_circle
137128856,highway,regular,turning_circle
137131583,ref,regular,72
137131583,highway,regular,motorway_junction
137131616,ref,regular,72
137131616,highway,regular,motorway_junction
137131845,power,regular,tower
137131850,power,regular,pole
137131853,power,regular,pole
